UNITRUST?,https://www.unitrust.co.jp/,0,-1.444444444,-2.666666667,-0.777777778,-2,-1.333333333
株式会社キュービック,https://cuebic.co.jp/,-1.777777778,-0.222222222,-1.888888889,0,0,-0.111111111
クラウドゲート株式会社,https://www.crowdgate.co.jp/,0.333333333,-0.666666667,0.666666667,-0.444444444,-1,-0.444444444
株式会社プロフェッショナル・ネットワークス,https://www.pronets.co.jp/,-0.666666667,-1.111111111,0.666666667,-1.555555556,-0.888888889,0.111111111
インキュデータ株式会社,https://www.incudata.co.jp/,1.222222222,-1.666666667,1.888888889,-2.333333333,-1.222222222,-1.222222222
株式会社アダコテック,https://adacotech.co.jp/,0.222222222,-1.333333333,1.111111111,-1.333333333,0,0.333333333
POOL inc.,https://pool-inc.net/,-0.555555556,-0.444444444,-2.111111111,-0.333333333,-0.555555556,-1
ONE CAREER Inc.｜株式会社ワンキャリア,https://onecareer.co.jp/,2,-2,-2.111111111,-0.222222222,-2.333333333,-0.777777778
株式会社KEYCREW｜KEYCREW Inc.,https://keycrew.co.jp/,0.777777778,-1.555555556,1.333333333,-1.666666667,-1.222222222,-0.777777778
株式会社クロッシングフィールド｜CROSSING FIELD,https://crossing-field.co.jp/,-2.444444444,1.222222222,-2.666666667,0.888888889,-1,-1
monopo,https://monopo.co.jp/,1.333333333,-1.888888889,1.777777778,-1.666666667,-1.333333333,-1.444444444
日本エアフィルター,https://www.jaf-co.jp/,-0.666666667,-0.555555556,-1.555555556,-0.333333333,-1,-0.777777778
株式会社グラスト | GRUST Inc.,https://www.grust.co.jp/,-0.111111111,-1,-1.666666667,-0.666666667,-0.888888889,-0.888888889
側島製罐,https://sobajima.jp/,0.888888889,-1.111111111,0.333333333,0,0.444444444,0.333333333
株式会社COTEN,https://coten.co.jp/,1.555555556,0.555555556,-1.333333333,0.333333333,-1.333333333,0
株式会社GIG,https://giginc.co.jp/,-0.555555556,-1.888888889,-1.111111111,-2.333333333,-1.888888889,-1.888888889
HARIO株式会社,https://www.hario.com/,1.111111111,-2.222222222,-1,-0.666666667,-1.888888889,-0.555555556
SHIFTBRAIN inc.,https://shiftbrain.com/,-0.111111111,-1.222222222,-1,-1.222222222,-1.444444444,-1.111111111
GAME FREAK 株式会社ゲームフリーク オフィシャルサイト,https://www.gamefreak.co.jp/,-0.222222222,0.333333333,-2,1.222222222,-0.888888889,-1.333333333
mount inc,https://mount.jp/,1.333333333,-1,-1.333333333,-1,-2.222222222,-1.333333333
電通ウェブサイト,https://www.dentsu.co.jp/,-1.555555556,-1.222222222,-0.444444444,-1.444444444,-0.222222222,-0.333333333
谷口眼鏡: TOP,https://www.turning-opt.com/,1.222222222,-0.111111111,-0.111111111,-0.111111111,-0.333333333,0.666666667
ミスターチーズケーキ: Mr. CHEESECAKE,https://mr-cheesecake.com/,0.888888889,-1.666666667,-1.111111111,1.444444444,-1.888888889,-1.333333333
インフォーカス（IN FOCUS）,https://www.in-focus.co.jp/,-1.333333333,-1,-0.777777778,-1.444444444,-0.222222222,-0.333333333
reynato.tokyo（レナートトーキョー）,https://reynato.co.jp/,1.888888889,-1.777777778,2.444444444,-1.555555556,0.555555556,0.777777778
博報堂アイ・スタジオ,https://www.i-studio.co.jp/,-2.111111111,1.111111111,-2.555555556,1.666666667,-1.222222222,-1.111111111
Webコンサルティングスタジオ 株式会社ARUTEGA,https://arutega.jp/,1.111111111,-2.111111111,1.555555556,-1.666666667,-1.444444444,-1.333333333
株式会社CirKit,https://cirkit.jp/,-0.444444444,-1.777777778,-1.333333333,-1.222222222,-1.444444444,-1
Nintendo - 任天堂ホームページへ,https://www.nintendo.co.jp/index.html,-1.333333333,2,-2.333333333,1.333333333,-1.555555556,-1.888888889
株式会社シャルマン 公式ホームページ,https://www.charmant.co.jp/,1.222222222,-2.444444444,-0.333333333,-2,-1.444444444,-1.555555556
株式会社Cygames（サイゲームス）,https://www.cygames.co.jp/,-2.111111111,0.666666667,-1.333333333,1,-0.777777778,-1
ハル研究所ウェブサイト,https://www.hallab.co.jp/,-0.111111111,1.777777778,-2.333333333,1.666666667,-1.444444444,-2
独り音 | 無料で使えるフリーBGM集,https://az-ho.org/,2.666666667,-2,-0.111111111,-0.888888889,-0.555555556,0.111111111
伝わるデザイン｜研究発表のユニバーサルデザイン,https://tsutawarudesign.com/,1.333333333,-1.888888889,-0.111111111,-0.333333333,-0.222222222,-0.444444444
日本紅茶協会,https://www.tea-a.gr.jp/,-0.333333333,-1.555555556,-2,0.555555556,-1.888888889,-2.222222222
ねこ検定 公式サイト,https://www.kentei-uketsuke.com/neko/,-1.555555556,1.666666667,-1.888888889,1.666666667,0.333333333,-0.111111111
ディライトワークス株式会社,https://delightworks.co.jp/,1.444444444,-1.888888889,-0.777777778,-1.555555556,-1.555555556,-0.777777778
株式会社Yostar,https://www.yostar.co.jp/,0.444444444,-2.111111111,0.333333333,-1.666666667,-1,-1.444444444
株式会社マップル,https://mapple.com/,-1,-1.666666667,-2.111111111,-1.444444444,-2.111111111,-1.444444444
集英社 ― SHUEISHA ―,https://www.shueisha.co.jp/,-0.444444444,-1.333333333,-0.888888889,-1,-1.222222222,-1.222222222
株式会社電通グループ,https://www.group.dentsu.com/jp/,-0.666666667,-0.444444444,-0.888888889,-0.333333333,-1.444444444,-1.111111111
エイベックス株式会社,https://avex.com/jp/ja/,-0.333333333,-0.888888889,-1.111111111,-0.666666667,0.444444444,0.111111111
KADOKAWAグループ ポータルサイト,https://group.kadokawa.co.jp/,0.777777778,-1.555555556,-0.555555556,-1.222222222,-1,-0.888888889
ブシロード企業サイト,https://bushiroad.co.jp/,0.333333333,-1,-0.888888889,-0.666666667,-0.888888889,-0.777777778
Unreal Engine,https://www.unrealengine.com/ja/,1.111111111,-2.222222222,1.666666667,-1.888888889,-2,-1.888888889
Godot Engine,https://godotengine.org/,-1,-1,0.555555556,-0.777777778,-0.333333333,-0.555555556
Apex Legends? ニュース - EA公式サイト,https://www.ea.com/ja-jp/games/apex-legends/news,-1.555555556,-0.666666667,-1.555555556,-1.777777778,-0.666666667,-0.777777778
Esports Charts,https://escharts.com/ja,1,-1.888888889,1.222222222,-1.888888889,-1.555555556,-1
Liquipedia.net.,https://liquipedia.net/,0.777777778,-1.222222222,-1.111111111,-0.666666667,-0.222222222,-0.444444444
株式会社サイバーエージェント,https://www.cyberagent.co.jp/,-0.888888889,-1.333333333,-1,-1.111111111,-0.222222222,-0.333333333
VALORANT,https://playvalorant.com/ja-jp/,-0.111111111,-0.111111111,-0.222222222,-1.888888889,-1.555555556,-1.444444444
Clash Royale × Supercell,https://supercell.com/en/games/clashroyale/,-0.444444444,0.555555556,-1.666666667,-0.333333333,0.222222222,-0.444444444
Cocos2d-x ,https://www.cocos.com/en/cocos2d-x,0.555555556,-1.666666667,-2.333333333,-1.111111111,-1.666666667,-1.333333333
Apple（日本）,https://www.apple.com/jp/,0.888888889,-2.444444444,0,-2.222222222,-2.666666667,-2.555555556
事業戦略家集団 | 株式会社グラディート | GRADITO |,https://www.gradito.net/,0.181818182,-1.272727273,1.909090909,-2.090909091,-1.090909091,-1.090909091
EXE[エグゼ],https://exe-pro.jp/,1.181818182,-2.090909091,-0.818181818,-1.363636364,-1.454545455,-1.090909091
株式会社ポケモン,https://corporate.pokemon.co.jp/,-0.181818182,1.090909091,-2.090909091,1.545454545,-1.909090909,-2.181818182
声優と夜あそび 2023【公式】 | ABEMA,https://sayyoutoyoasobi.com/,-2.272727273,1.181818182,-2.090909091,0.363636364,0.090909091,-0.090909091
digital egg inc.,https://www.digitalegg.co.jp/,2.636363636,-1.272727273,-0.818181818,-0.909090909,-1.454545455,-0.454545455
株式会社テンペスト ? Tempest Inc.,https://tmpst.co.jp/,2.090909091,-0.181818182,2.272727273,-0.636363636,0.272727273,1.090909091
エルデンリング: ELDEN RING,https://www.eldenring.jp/index.html,-1.545454545,-1.454545455,1.636363636,-2.090909091,-1.636363636,-1.636363636
Unity,https://unity.com/ja/games,-0.181818182,1,-0.272727273,0.272727273,0.272727273,-0.454545455
トーヨーカラー株式会社,https://www.artiencegroup.com/ja/,-1.363636364,-0.454545455,-1.636363636,0.727272727,-1.363636364,-0.363636364
野菜たっぷりサンドイッチ スペシャルレシピ - 味の素,https://www.ajinomoto.co.jp/pureselect/mayorecipe/sand/,-1.727272727,0.545454545,-2.272727273,2,-1.181818182,-1.909090909
株式会社x garden,https://x-garden.co.jp/,1.363636364,-1,-1.454545455,-1.363636364,-1.818181818,-0.909090909
KIT 金沢工業大学,https://www.kanazawa-it.ac.jp/,0.454545455,-1.090909091,-1.090909091,-0.545454545,0.545454545,0.272727273
GO!PEACE! - フェリシモ,https://www.felissimo.co.jp/gopeace/,-1.909090909,1.727272727,-2,2.181818182,-0.818181818,-1.818181818
Qiita,https://qiita.com/,1.818181818,0,2.181818182,-0.636363636,0.818181818,0.363636364
デザインスタジオ・エル,https://designstudio-l.jp/,1.090909091,-1.636363636,-1.090909091,-1.181818182,-1.818181818,-1
ロジクール,https://www.logicool.co.jp/ja-jp,-0.090909091,-1.454545455,-0.272727273,-1.636363636,-1.818181818,-1.363636364
DeNA: 株式会社ディー・エヌ・エー,https://dena.com/jp/,0.363636364,0.363636364,-0.636363636,0.090909091,-0.818181818,-0.818181818
アクアリング - Oneness for good design.,https://www.aquaring.co.jp/,1.181818182,-0.909090909,-1.454545455,-0.363636364,-1.545454545,-1
LANCH Inc.,https://lanch.jp/,1,0.636363636,-0.545454545,1.363636364,-1.272727273,-1.454545455
株式会社ゼロボード,https://zeroboard.jp/,-0.545454545,-0.090909091,-1.818181818,0,-1.727272727,-1.454545455
GitHub,https://github.com/,-1.181818182,0.545454545,1,-0.272727273,-0.454545455,-0.181818182
株式会社エンハンス,https://www.enhance.co.jp/,-0.363636364,-1.636363636,0.090909091,-1.818181818,-1.272727273,-0.727272727
株式会社ケイズ,https://www.ksplant.co.jp/,1.090909091,-1.090909091,-1.545454545,0.545454545,-1.818181818,-0.636363636
令和自由学校 - 株式会社HADAKA,https://reiwa.hadaka.co.jp/,-2,2.272727273,-1.818181818,0.727272727,0.545454545,-0.545454545
ハーゲンダッツ ジャパン H?agen-Dazs,https://www.haagen-dazs.co.jp/,0.454545455,0.181818182,-0.909090909,0.727272727,-0.909090909,-1.090909091
繁盛処 縁達磨｜enndaruma,https://enndaruma.co.jp/,2.090909091,-1.636363636,2.181818182,-1.363636364,-0.181818182,0.181818182
Yamauchi No.10 Family Office,https://y-n10.com/ ,1.545454545,1.090909091,1.181818182,-0.090909091,0.090909091,-0.454545455
YUKI OKADA,https://ykokd.com/,-0.272727273,0.363636364,0.181818182,-0.545454545,2.272727273,1.545454545
やまのみ保育園,https://yamanomi-hoiku.com/,-0.636363636,2.090909091,-2.272727273,1.545454545,-1.181818182,-1.272727273
TRUNK(HOTEL) YOYOGI PARK,https://yoyogipark.trunk-hotel.com/,2.666666667,-1.583333333,-1.083333333,0.583333333,-1.583333333,-1.333333333
IWAI OMOTESANDO STORY,https://iwai-omotesando-lp-story.crazy.co.jp/,0.416666667,-2.5,1.25,-1.75,-2.166666667,-1.333333333
エッグフォワード | 世界唯一の人材開発カンパニー,https://eggforward.co.jp/,0.833333333,-0.083333333,-1.166666667,-0.916666667,-0.5,-0.333333333
社会福祉法人 明照園,https://meishoen.com/,0.25,2.083333333,-1.583333333,1.916666667,0.083333333,-0.666666667
s-nishigaoka,https://ednet.res-edu.ed.jp/s-nishigaoka/index.php?page_id=0,2.5,-0.833333333,0.833333333,-0.166666667,1.583333333,1.333333333
ココ育PROJECT,https://www.morinaga.co.jp/cocoa/milk/cocoiku/,-1.5,2.25,-2.166666667,2.333333333,-0.5,-0.75
文化商店,https://bunka-shoten.com/,-1.333333333,1.166666667,-1.666666667,0.416666667,-0.666666667,-1.25
株式会社Casa,https://casa-inc.co.jp/,0.75,-1.916666667,-1.333333333,-1.166666667,-1.666666667,-0.833333333
こめやかたの杵つき男もち女もち,https://komeyakata.com/,-1.75,-0.083333333,-2,-1.083333333,1.083333333,0.166666667
立命館大学 宇宙地球探査研究センター (ESEC),https://esec.ritsumei.ac.jp/,2,-2.416666667,2.25,-2.083333333,-1.833333333,-0.916666667
スプラッシュトップ株式会社,https://company.splashtop.co.jp/,-1,1.916666667,-2.083333333,1.75,-0.416666667,-0.666666667
株式会社Cyber AI Productions,https://www.cyber-ai-productions.co.jp/,1.333333333,-1.75,1,-1.25,-1.166666667,-0.666666667
猿人 ENJIN TOKYO | クリエイティブエージェンシー,https://enjintokyo.com/,1.25,-1.166666667,0.75,-0.916666667,1.166666667,1.833333333
PARTY,https://prty.jp/,2.25,-0.666666667,-1.333333333,-0.416666667,-1.166666667,-0.25
デジタルハリウッド大学,https://www.dhw.ac.jp/,2,-1.25,-0.75,-1,-0.333333333,-0.083333333
AZABU DEI 麻布大学DEI推進センター,https://dei.azabu-u.ac.jp/,0.416666667,1.166666667,-1.166666667,1.75,-0.75,-1.166666667
アイトフース,https://aitohus.com/,1,-1.916666667,-0.416666667,-0.75,-1.5,-1.416666667
ブルーハムハム | BLUE HAMHAM Official,https://bluehamham.com/,2.5,-1.916666667,2.666666667,-2,-1.583333333,-1.416666667
UNMUTE,https://unmt.dev/ja/,1.833333333,-0.333333333,-0.916666667,0,1.583333333,1.666666667
株式会社スマートリンク,https://career.a-i-o-i.com/,0.5,-1.75,-0.666666667,-1.916666667,-1.916666667,-1.25
世界の人口,http://arkot.com/,0.416666667,1.916666667,-1.666666667,2.333333333,-1.083333333,-1.75
株式会社CROOVER,https://croover.co.jp/,0.5,-2.416666667,1.583333333,-2.25,-1.916666667,-0.916666667
株式会社LARGO（ラルゴ）,https://largo.studio/,0.833333333,-1,-1.583333333,-0.833333333,-1.083333333,-0.666666667
aguije | アグイジェ ?,https://aguije.jp/,1.416666667,-0.916666667,1.416666667,-0.666666667,-0.166666667,-0.333333333
